learn_method,level_learned_at,move_id,pokemon_id
egg,0,13,1
machine,0,14,1
machine,0,15,1
tutor,0,20,1
level-up,13,22,1
machine,0,29,1
level-up,1,33,1
machine,0,34,1
machine,0,36,1
machine,0,38,1
level-up,1,45,1
machine,0,70,1
machine,0,72,1
level-up,7,73,1
level-up,34,74,1
level-up,27,75,1
level-up,48,76,1
level-up,20,77,1
level-up,41,79,1
egg,0,80,1
tutor,0,81,1
machine,0,92,1
machine,0,99,1
machine,0,102,1
machine,0,104,1
machine,0,111,1
egg,0,113,1
machine,0,115,1
machine,0,117,1
egg,0,124,1
egg,0,130,1
egg,0,133,1
machine,0,148,1
machine,0,156,1
machine,0,164,1
machine,0,173,1
machine,0,174,1
machine,0,182,1
machine,0,188,1
machine,0,189,1
machine,0,200,1
machine,0,202,1
machine,0,203,1
egg,0,204,1
machine,0,206,1
machine,0,207,1
machine,0,210,1
machine,0,213,1
machine,0,214,1
machine,0,216,1
machine,0,218,1
egg,0,219,1
level-up,25,230,1
level-up,39,235,1
machine,0,237,1
machine,0,241,1
machine,0,249,1
machine,0,263,1
egg,0,267,1
machine,0,270,1
egg,0,275,1
tutor,0,282,1
machine,0,290,1
machine,0,311,1
egg,0,320,1
machine,0,331,1
egg,0,345,1
machine,0,363,1
level-up,31,388,1
level-up,37,402,1
machine,0,412,1
egg,0,437,1
egg,0,438,1
machine,0,445,1
machine,0,447,1
machine,0,474,1
machine,0,491,1
machine,0,496,1
machine,0,497,1
tutor,0,520,1
machine,0,526,1
egg,0,580,1
machine,0,590,1
tutor,0,803,1
machine,0,851,1
machine,0,885,1
machine,0,14,2
machine,0,15,2
tutor,0,20,2
level-up,13,22,2
machine,0,29,2
level-up,1,33,2
machine,0,34,2
machine,0,36,2
machine,0,38,2
level-up,1,45,2
machine,0,46,2
machine,0,70,2
machine,0,72,2
level-up,1,73,2
level-up,38,74,2
level-up,30,75,2
level-up,54,76,2
level-up,22,77,2
level-up,46,79,2
egg,0,80,2
tutor,0,81,2
machine,0,92,2
machine,0,99,2
machine,0,102,2
machine,0,104,2
machine,0,111,2
machine,0,113,2
machine,0,115,2
machine,0,117,2
machine,0,133,2
machine,0,148,2
machine,0,156,2
machine,0,164,2
machine,0,173,2
machine,0,174,2
machine,0,182,2
machine,0,188,2
machine,0,189,2
machine,0,200,2
machine,0,202,2
machine,0,203,2
machine,0,204,2
machine,0,206,2
machine,0,207,2
machine,0,210,2
machine,0,213,2
machine,0,214,2
machine,0,216,2
machine,0,218,2
machine,0,219,2
level-up,29,230,2
level-up,47,235,2
machine,0,237,2
machine,0,241,2
machine,0,249,2
machine,0,263,2
machine,0,267,2
machine,0,270,2
egg,0,275,2
tutor,0,282,2
machine,0,290,2
machine,0,311,2
machine,0,331,2
machine,0,345,2
machine,0,363,2
level-up,36,388,2
tutor,0,402,2
machine,0,412,2
machine,0,437,2
machine,0,438,2
machine,0,445,2
machine,0,447,2
machine,0,474,2
machine,0,491,2
machine,0,496,2
machine,0,497,2
tutor,0,520,2
machine,0,526,2
machine,0,580,2
machine,0,590,2
tutor,0,803,2
machine,0,851,2
machine,0,885,2
machine,0,14,3
machine,0,15,3
tutor,0,20,3
level-up,1,22,3
machine,0,29,3
level-up,1,33,3
machine,0,34,3
machine,0,36,3
machine,0,38,3
level-up,1,45,3
machine,0,46,3
machine,0,63,3
machine,0,70,3
machine,0,72,3
level-up,1,73,3
level-up,43,74,3
level-up,30,75,3
level-up,65,76,3
level-up,22,77,3
level-up,55,79,3
level-up,32,80,3
tutor,0,81,3
machine,0,89,3
machine,0,92,3
machine,0,99,3
machine,0,102,3
machine,0,104,3
machine,0,111,3
machine,0,113,3
machine,0,115,3
machine,0,117,3
level-up,1,133,3
machine,0,148,3
machine,0,156,3
machine,0,164,3
machine,0,173,3
machine,0,174,3
machine,0,182,3
machine,0,184,3
machine,0,188,3
machine,0,189,3
tutor,0,200,3
machine,0,202,3
machine,0,203,3
machine,0,204,3
machine,0,206,3
machine,0,207,3
machine,0,210,3
machine,0,213,3
machine,0,214,3
machine,0,216,3
machine,0,218,3
machine,0,219,3
level-up,29,230,3
level-up,53,235,3
machine,0,237,3
machine,0,241,3
machine,0,249,3
machine,0,263,3
machine,0,267,3
machine,0,270,3
egg,0,275,3
tutor,0,282,3
machine,0,290,3
machine,0,311,3
machine,0,331,3
tutor,0,335,3
tutor,0,338,3
machine,0,345,3
machine,0,363,3
level-up,39,388,3
machine,0,398,3
tutor,0,402,3
machine,0,412,3
machine,0,414,3
machine,0,416,3
machine,0,431,3
machine,0,437,3
level-up,1,438,3
machine,0,445,3
