move_name,move_id,Unnamed: 0,accuracy,damage_class,effect_chance,effect,power,pp,priority,short_effect,target,move_type,type_name,type_id
razor-wind,13,12,100.0,special,,Requires a turn to charge before attacking.,80.0,10.0,0,Requires a turn to charge before attacking.,all-opponents,normal,normal,19
swords-dance,14,13,,status,,Raises the user's Attack by two stages.,,20.0,0,Raises the user's Attack by two stages.,user,normal,normal,19
cut,15,14,95.0,physical,,Inflicts regular damage with no additional effect.,50.0,30.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,normal,normal,19
bind,20,19,85.0,physical,100.0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,15.0,20.0,0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,selected-pokemon,normal,normal,19
vine-whip,22,21,100.0,physical,,Inflicts regular damage with no additional effect.,45.0,25.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,grass,grass,6
headbutt,29,28,100.0,physical,30.0,Has a 30% chance to make the target flinch.,70.0,15.0,0,Has a 30% chance to make the target flinch.,selected-pokemon,normal,normal,19
tackle,33,32,100.0,physical,,Inflicts regular damage with no additional effect.,40.0,35.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,normal,normal,19
body-slam,34,33,100.0,physical,30.0,Has a 30% chance to paralyze the target.,85.0,15.0,0,Has a 30% chance to paralyze the target.,selected-pokemon,normal,normal,19
take-down,36,35,85.0,physical,,User receives 1/4 the damage it inflicts in recoil.,90.0,20.0,0,User receives 1/4 the damage it inflicts in recoil.,selected-pokemon,normal,normal,19
double-edge,38,37,100.0,physical,,User receives 1/3 the damage inflicted in recoil.,120.0,15.0,0,User receives 1/3 the damage inflicted in recoil.,selected-pokemon,normal,normal,19
growl,45,44,100.0,status,,Lowers the target's Attack by one stage.,,40.0,0,Lowers the target's Attack by one stage.,all-opponents,normal,normal,19
strength,70,69,100.0,physical,,Inflicts regular damage with no additional effect.,80.0,15.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,normal,normal,19
mega-drain,72,71,100.0,special,,Drains half the damage inflicted to heal the user.,40.0,15.0,0,Drains half the damage inflicted to heal the user.,selected-pokemon,grass,grass,6
leech-seed,73,72,90.0,status,,"Seeds the target, stealing HP from it every turn.",,10.0,0,"Seeds the target, stealing HP from it every turn.",selected-pokemon,grass,grass,6
growth,74,73,,status,,Raises the user's Attack and Special Attack by one stage.,,20.0,0,Raises the user's Attack and Special Attack by one stage.,user,normal,normal,19
razor-leaf,75,74,95.0,physical,,Has an increased chance for a critical hit.,55.0,25.0,0,Has an increased chance for a critical hit.,all-opponents,grass,grass,6
solar-beam,76,75,100.0,special,,Requires a turn to charge before attacking.,120.0,10.0,0,Requires a turn to charge before attacking.,selected-pokemon,grass,grass,6
poison-powder,77,76,75.0,status,,Poisons the target.,,35.0,0,Poisons the target.,selected-pokemon,poison,poison,1
sleep-powder,79,78,75.0,status,,Puts the target to sleep.,,15.0,0,Puts the target to sleep.,selected-pokemon,grass,grass,6
petal-dance,80,79,100.0,special,,"Hits every turn for 2-3 turns, then confuses the user.",120.0,10.0,0,"Hits every turn for 2-3 turns, then confuses the user.",random-opponent,grass,grass,6
string-shot,81,80,95.0,status,,Lowers the target's Speed by two stages.,,40.0,0,Lowers the target's Speed by two stages.,all-opponents,bug,bug,18
toxic,92,91,90.0,status,,"Badly poisons the target, inflicting more damage every turn.",,10.0,0,"Badly poisons the target, inflicting more damage every turn.",selected-pokemon,poison,poison,1
rage,99,98,100.0,physical,,"Locks the user into this move.  Due to a bug, if this move misses, its accuracy drops to 1/256 as long as the user is still locked in. Additionally; If the user is hit after using this move, its Attack rises by one stage.",20.0,20.0,0,"If the user is hit after using this move, its Attack rises by one stage.",selected-pokemon,normal,normal,19
mimic,102,101,,status,,Copies the target's last used move.,,10.0,0,Copies the target's last used move.,selected-pokemon,normal,normal,19
double-team,104,103,,status,,Raises the user's evasion by one stage.,,15.0,0,Raises the user's evasion by one stage.,user,normal,normal,19
defense-curl,111,110,,status,,Raises user's Defense by one stage.,,40.0,0,Raises user's Defense by one stage.,user,normal,normal,19
light-screen,113,112,,status,,Reduces damage from special attacks by 50% for five turns.,,30.0,0,Reduces damage from special attacks by 50% for five turns.,users-field,psychic,psychic,8
reflect,115,114,,status,,Reduces damage from physical attacks by half.,,20.0,0,Reduces damage from physical attacks by half.,users-field,psychic,psychic,8
bide,117,116,,physical,,"Lasts either two or three turns. Additionally; User waits for two turns, then hits back for twice the damage it took.",,10.0,1,"User waits for two turns, then hits back for twice the damage it took.",user,normal,normal,19
sludge,124,123,100.0,special,30.0,Has a 30% chance to poison the target.,65.0,20.0,0,Has a 30% chance to poison the target.,selected-pokemon,poison,poison,1
skull-bash,130,129,100.0,physical,100.0,Does not raise Defense. Additionally; Raises the user's Defense by one stage.  User charges for one turn before attacking.,130.0,10.0,0,Raises the user's Defense by one stage.  User charges for one turn before attacking.,selected-pokemon,normal,normal,19
amnesia,133,132,,status,,Raises the user's Special Defense by two stages.,,20.0,0,Raises the user's Special Defense by two stages.,user,psychic,psychic,8
flash,148,147,100.0,status,,Lowers the target's accuracy by one stage.,,20.0,0,Lowers the target's accuracy by one stage.,selected-pokemon,normal,normal,19
rest,156,155,,status,,"Works while asleep through sleep talk if not at full health. Additionally; User sleeps for two turns, completely healing itself.",,5.0,0,"User sleeps for two turns, completely healing itself.",user,psychic,psychic,8
substitute,164,163,,status,,"Transfers 1/4 of the user's max HP into a doll, protecting the user from further damage or status changes until it breaks.",,10.0,0,"Transfers 1/4 of the user's max HP into a doll, protecting the user from further damage or status changes until it breaks.",user,normal,normal,19
snore,173,172,100.0,special,30.0,Has a 30% chance to make the target flinch.  Only works if the user is sleeping.,50.0,15.0,0,Has a 30% chance to make the target flinch.  Only works if the user is sleeping.,selected-pokemon,normal,normal,19
curse,174,173,,status,,Ghosts pay half their max HP to hurt the target every turn.  Others decrease Speed but raise Attack and Defense.,,10.0,0,Ghosts pay half their max HP to hurt the target every turn.  Others decrease Speed but raise Attack and Defense.,specific-move,ghost,ghost,17
protect,182,181,,status,,Prevents any moves from hitting the user this turn.,,10.0,4,Prevents any moves from hitting the user this turn.,user,normal,normal,19
sludge-bomb,188,187,100.0,special,30.0,Has a 30% chance to poison the target.,90.0,10.0,0,Has a 30% chance to poison the target.,selected-pokemon,poison,poison,1
mud-slap,189,188,100.0,special,100.0,Has a 100% chance to lower the target's accuracy by one stage.,20.0,10.0,0,Has a 100% chance to lower the target's accuracy by one stage.,selected-pokemon,ground,ground,4
outrage,200,199,100.0,physical,,"Hits every turn for 2-3 turns, then confuses the user.",120.0,10.0,0,"Hits every turn for 2-3 turns, then confuses the user.",random-opponent,dragon,dragon,15
giga-drain,202,201,100.0,special,,Drains half the damage inflicted to heal the user.,75.0,10.0,0,Drains half the damage inflicted to heal the user.,selected-pokemon,grass,grass,6
endure,203,202,,status,,Prevents the user's HP from lowering below 1 this turn.,,10.0,4,Prevents the user's HP from lowering below 1 this turn.,user,normal,normal,19
charm,204,203,100.0,status,,Lowers the target's Attack by two stages.,,20.0,0,Lowers the target's Attack by two stages.,selected-pokemon,fairy,fairy,5
false-swipe,206,205,100.0,physical,,Cannot lower the target's HP below 1.,40.0,40.0,0,Cannot lower the target's HP below 1.,selected-pokemon,normal,normal,19
swagger,207,206,85.0,status,,Raises the target's Attack by two stages and confuses the target.,,15.0,0,Raises the target's Attack by two stages and confuses the target.,selected-pokemon,normal,normal,19
fury-cutter,210,209,95.0,physical,,"Power doubles every turn this move is used in succession after the first, maxing out after five turns.",40.0,20.0,0,"Power doubles every turn this move is used in succession after the first, maxing out after five turns.",selected-pokemon,bug,bug,18
attract,213,212,100.0,status,,"Target falls in love if it has the opposite gender, and has a 50% chance to refuse attacking the user.",,15.0,0,"Target falls in love if it has the opposite gender, and has a 50% chance to refuse attacking the user.",selected-pokemon,normal,normal,19
sleep-talk,214,213,,status,,Randomly uses one of the user's other three moves.  Only works if the user is sleeping.,,10.0,0,Randomly uses one of the user's other three moves.  Only works if the user is sleeping.,user,normal,normal,19
return,216,215,100.0,physical,,"Power increases with happiness, up to a maximum of 102.",,20.0,0,"Power increases with happiness, up to a maximum of 102.",selected-pokemon,normal,normal,19
frustration,218,217,100.0,physical,,"Power increases as happiness decreases, up to a maximum of 102.",,20.0,0,"Power increases as happiness decreases, up to a maximum of 102.",selected-pokemon,normal,normal,19
safeguard,219,218,,status,,Protects the user's field from major status ailments and confusion for five turns.,,25.0,0,Protects the user's field from major status ailments and confusion for five turns.,users-field,normal,normal,19
sweet-scent,230,229,100.0,status,,Lowers the target's evasion by one stage.,,20.0,0,Lowers the target's evasion by one stage.,all-opponents,normal,normal,19
synthesis,235,234,,status,,Heals the user by half its max HP.  Affected by weather.,,5.0,0,Heals the user by half its max HP.  Affected by weather.,user,grass,grass,6
hidden-power,237,236,100.0,special,,Power and type depend upon user's IVs.  Power can range from 30 to 70.,60.0,15.0,0,Power and type depend upon user's IVs.  Power can range from 30 to 70.,selected-pokemon,normal,normal,19
sunny-day,241,240,,status,,Changes the weather to sunny for five turns.,,5.0,0,Changes the weather to sunny for five turns.,entire-field,fire,fire,14
rock-smash,249,248,100.0,physical,50.0,Has a 50% chance to lower the target's Defense by one stage.,40.0,15.0,0,Has a 50% chance to lower the target's Defense by one stage.,selected-pokemon,fighting,fighting,7
